,n,p,TP,FP,product,adj_R2
0,0.0,0.0,0.0,0.0,0.0,-0.31
1,0.0,0.01,150.69,0.0,0.0,1.0
2,0.0,0.02,79.22,0.0,0.0,1.0
3,0.0,0.03,55.38,0.0,0.0,0.99
4,0.0,0.04,43.45,0.0,0.0,0.99
5,0.0,0.05,36.29,0.0,0.0,0.98
6,0.0,0.06,31.51,0.0,0.0,0.98
7,0.0,0.07,28.1,0.0,0.0,0.97
8,0.0,0.08,25.44,0.0,0.0,0.97
9,0.0,0.09,23.13,0.0,0.0,0.97
10,0.0,0.1,21.2,0.0,0.0,0.96
11,0.0,0.11,19.57,0.0,0.0,0.96
12,0.0,0.12,18.18,0.0,0.0,0.96
13,0.0,0.13,16.98,0.0,0.0,0.96
14,0.0,0.14,15.93,0.0,0.0,0.96
15,0.0,0.15,15.02,0.0,0.0,0.96
16,0.0,0.16,14.2,0.0,0.0,0.96
17,0.0,0.17,13.48,0.0,0.0,0.95
18,0.0,0.18,12.84,0.0,0.0,0.95
19,0.0,0.19,12.26,0.0,0.0,0.95
20,0.0,0.2,11.73,0.0,0.0,0.95
21,0.0,0.21,11.25,0.0,0.0,0.95
22,0.0,0.22,10.82,0.0,0.0,0.94
23,0.0,0.23,10.42,0.0,0.0,0.94
24,0.0,0.24,10.06,0.0,0.0,0.94
25,0.0,0.25,9.73,0.0,0.0,0.94
26,0.0,0.26,9.42,0.0,0.0,0.94
27,0.0,0.27,9.14,0.0,0.0,0.94
28,0.0,0.28,8.88,0.0,0.0,0.93
29,0.0,0.29,8.64,0.0,0.0,0.93
30,0.0,0.3,8.41,0.0,0.0,0.93
31,0.0,0.31,8.21,0.0,0.0,0.93
32,0.0,0.32,8.02,0.0,0.0,0.92
33,0.0,0.33,7.84,0.0,0.0,0.92
34,0.0,0.34,7.68,0.0,0.0,0.92
35,0.0,0.35000000000000003,7.53,0.0,0.0,0.92
36,0.0,0.36,7.4,0.0,0.0,0.91
37,0.0,0.37,7.27,0.0,0.0,0.91
38,0.0,0.38,7.16,0.0,0.0,0.91
39,0.0,0.39,7.06,0.0,0.0,0.91
40,0.0,0.4,6.98,0.0,0.0,0.9
41,0.0,0.41000000000000003,6.9,0.0,0.0,0.9
42,0.0,0.42,6.84,0.0,0.0,0.9
43,0.0,0.43,6.8,0.0,0.0,0.89
44,0.0,0.44,6.77,0.0,0.0,0.89
45,0.0,0.45,6.76,0.0,0.0,0.89
46,0.0,0.46,6.78,0.0,0.0,0.88
47,0.0,0.47000000000000003,6.82,0.0,0.0,0.88
48,0.0,0.48,6.9,0.0,0.0,0.88
49,0.0,0.49,7.03,0.0,0.0,0.87
50,0.0,0.5,7.22,0.0,0.0,0.87
51,0.0,0.51,7.53,0.0,0.0,0.87
52,0.0,0.52,7.99,0.0,0.0,0.87
53,0.0,0.53,8.73,0.0,0.0,0.88
54,0.0,0.54,9.82,0.0,0.0,0.89
55,0.0,0.55,10.98,0.0,0.0,0.9
56,0.0,0.56,11.57,0.0,0.0,0.9
57,0.0,0.5700000000000001,11.62,0.0,0.0,0.9
58,0.0,0.58,11.62,0.0,0.0,0.9
59,0.0,0.59,11.61,0.0,0.0,0.9
60,0.0,0.6,11.6,0.0,0.0,0.9
61,0.0,0.61,11.6,0.0,0.0,0.91
62,0.0,0.62,11.59,0.0,0.0,0.91
63,0.0,0.63,11.58,0.0,0.0,0.91
64,0.0,0.64,11.57,0.0,0.0,0.92
65,0.0,0.65,11.55,0.0,0.0,0.93
66,0.0,0.66,11.52,0.0,0.0,0.93
67,0.0,0.67,11.47,0.0,0.0,0.94
68,0.0,0.68,11.41,0.0,0.0,0.95
69,0.0,0.6900000000000001,11.32,0.0,0.0,0.96
70,0.0,0.7000000000000001,11.22,0.0,0.0,0.97
71,0.0,0.71,11.09,0.0,0.0,0.97
72,0.0,0.72,10.94,0.0,0.0,0.98
73,0.0,0.73,10.78,0.0,0.0,0.99
74,0.0,0.74,10.62,0.0,0.0,0.99
75,0.0,0.75,10.46,0.0,0.0,0.99
76,0.0,0.76,10.32,0.0,0.0,1.0
77,0.0,0.77,10.2,0.0,0.0,1.0
78,0.0,0.78,10.11,0.0,0.0,1.0
79,0.0,0.79,10.04,0.0,0.0,1.0
80,0.0,0.8,9.99,0.0,0.0,1.0
81,0.0,0.81,9.97,0.0,0.0,1.0
82,0.0,0.8200000000000001,9.96,0.0,0.0,1.0
83,0.0,0.8300000000000001,9.97,0.0,0.0,1.0
84,0.0,0.84,10.0,0.0,0.0,1.0
85,0.0,0.85,10.04,0.0,0.0,1.0
86,0.0,0.86,10.09,0.0,0.0,1.0
87,0.0,0.87,10.15,0.0,0.0,1.0
88,0.0,0.88,10.22,0.0,0.0,1.0
89,0.0,0.89,10.29,0.0,0.0,1.0
90,0.0,0.9,10.36,0.0,0.0,1.0
91,0.0,0.91,10.43,0.0,0.0,0.99
92,0.0,0.92,10.5,0.0,0.0,0.98
93,0.0,0.93,10.56,0.0,0.0,0.97
94,0.0,0.9400000000000001,10.61,0.0,0.0,0.95
95,0.0,0.9500000000000001,10.65,0.0,0.0,0.89
96,0.0,0.96,10.66,0.0,0.0,0.78
97,0.0,0.97,10.64,0.0,0.0,0.51
98,0.0,0.98,10.58,0.0,0.0,-0.24
99,0.0,0.99,10.49,0.0,0.0,-2.82
100,0.0,1.0,10.37,0.0,0.0,-11.57
101,0.01,0.0,0.0,370.95,0.0,0.58
102,0.01,0.01,161.19,-6.82,-0.01,1.0
103,0.01,0.02,88.18,-12.91,-0.01,1.0
104,0.01,0.03,64.05,-19.74,-0.01,1.0
105,0.01,0.04,52.15,-27.29,-0.01,1.0
106,0.01,0.05,45.14,-35.53,-0.01,1.0
107,0.01,0.06,40.58,-44.44,-0.01,0.99
